lecture_id,campus,building,room_id
A0001,南大沢,6号,205
A0002,南大沢,6号,211
A0003,南大沢,6号,212
A0004,南大沢,6号,213
A0005,南大沢,6号,204
A0006,南大沢,6号,209
A0007,南大沢,6号,208
A0008,南大沢,6号,210
A0009,南大沢,AV棟,162
A0010,南大沢,6号,202
A0011,南大沢,6号,302
A0012,南大沢,6号,303
A0013,南大沢,6号,105
A0014,南大沢,6号,308
A0015,南大沢,6号,106
A0016,南大沢,6号,309
A0017,南大沢,6号,310
A0018,南大沢,6号,105
A0019,南大沢,6号,312
A0020,南大沢,6号,307
A0021,南大沢,6号,306
A0024,南大沢,6号,205
A0025,南大沢,6号,211
A0026,南大沢,6号,212
A0027,南大沢,6号,213
A0028,南大沢,6号,204
A0029,南大沢,6号,209
A0030,南大沢,6号,208
A0031,南大沢,6号,210
A0032,南大沢,AV棟,162
A0033,南大沢,6号,202
A0034,南大沢,6号,302
A0035,南大沢,6号,303
A0036,南大沢,6号,105
A0037,南大沢,6号,308
A0038,南大沢,6号,106
A0039,南大沢,6号,309
A0040,南大沢,6号,310
A0041,南大沢,6号,311
A0042,南大沢,6号,312
A0043,南大沢,6号,307
A0044,南大沢,6号,306
A0047,南大沢,6号,203
A0048,南大沢,6号,211
A0049,南大沢,6号,212
A0050,南大沢,6号,213
A0051,南大沢,6号,204
A0052,南大沢,6号,209
A0053,南大沢,6号,210
A0054,南大沢,6号,210
A0055,南大沢,6号,209
A0056,南大沢,6号,211
A0057,南大沢,6号,212
A0058,南大沢,AV棟,162
A0059,南大沢,6号,403
A0060,南大沢,6号,308
A0061,南大沢,6号,309
A0062,南大沢,6号,310
A0063,南大沢,6号,311
A0064,南大沢,6号,105
A0065,南大沢,6号,106
A0066,南大沢,6号,301
A0067,南大沢,6号,302
A0068,南大沢,6号,303
A0069,南大沢,6号,304
A0072,南大沢,1号,340
A0073,南大沢,1号,350
A0074,南大沢,6号,203
A0075,南大沢,6号,211
A0076,南大沢,6号,211
A0077,南大沢,6号,213
A0078,南大沢,6号,204
A0079,南大沢,6号,209
A0080,南大沢,6号,208
A0081,南大沢,6号,210
A0082,南大沢,6号,209
A0083,南大沢,6号,211
A0084,南大沢,6号,212
A0085,南大沢,AV棟,162
A0086,南大沢,6号,403
A0087,南大沢,6号,308
A0088,南大沢,6号,309
A0089,南大沢,6号,310
A0090,南大沢,6号,311
A0091,南大沢,6号,105
A0092,南大沢,6号,106
A0093,南大沢,6号,301
A0094,南大沢,6号,302
A0095,南大沢,6号,303
A0096,南大沢,6号,304
A0097,南大沢,1号,320
A0098,南大沢,1号,330
A0099,南大沢,1号,340
A0100,南大沢,1号,350
A0102,南大沢,1号,340
A0104,南大沢,6号,403
A0105,南大沢,6号,403
A0106,南大沢,6号,104
A0108,南大沢,1号,320
A0109,南大沢,6号,207
A0110,南大沢,6号,208
A0111,南大沢,6号,209
A0112,南大沢,1号,308
A0113,南大沢,6号,208
A0114,南大沢,1号,330
A0115,南大沢,6号,106
A0116,南大沢,1号,206
A0117,南大沢,1号,109
A0119,南大沢,1号,202
A0120,南大沢,1号,104
A0121,南大沢,1号,202
A0122,南大沢,1号,209
A0123,南大沢,1号,102
A0124,南大沢,6号,212
A0125,南大沢,6号,212
A0126,南大沢,6号,403
A0127,南大沢,1号,205
A0128,南大沢,6号,209
A0129,南大沢,1号,208
A0130,南大沢,1号,302
A0131,南大沢,6号,213
A0132,南大沢,1号,206
A0133,南大沢,6号,212
A0135,南大沢,6号,205
A0137,南大沢,6号,403
A0138,南大沢,6号,104
A0140,南大沢,6号,207
A0141,南大沢,6号,205
A0143,南大沢,6号,201
A0144,南大沢,6号,403
A0145,南大沢,6号,201
A0146,南大沢,6号,206
A0147,南大沢,6号,207
A0148,南大沢,6号,208
A0149,南大沢,6号,403
A0150,南大沢,6号,209
A0151,南大沢,6号,209
A0152,南大沢,6号,104
A0153,南大沢,6号,207
A0154,南大沢,6号,211
A0155,南大沢,6号,205
A0156,南大沢,6号,210
A0158,南大沢,6号,305
A0159,南大沢,6号,306
A0160,南大沢,6号,307
A0161,南大沢,6号,308
A0162,南大沢,6号,309
A0163,南大沢,6号,310
A0164,南大沢,6号,311
A0165,南大沢,6号,312
A0166,南大沢,6号,307
A0167,南大沢,6号,308
A0168,南大沢,6号,309
A0169,南大沢,6号,310
A0170,南大沢,6号,311
A0171,南大沢,6号,201
A0172,南大沢,6号,206
A0173,南大沢,6号,207
A0174,南大沢,6号,208
A0175,南大沢,6号,403
A0176,南大沢,6号,209
A0177,南大沢,6号,209
A0178,南大沢,6号,104
A0179,南大沢,6号,207
A0180,南大沢,6号,211
A0181,南大沢,6号,205
A0182,南大沢,6号,210
A0184,南大沢,6号,305
A0185,南大沢,6号,306
A0186,南大沢,6号,307
A0187,南大沢,6号,308
A0188,南大沢,6号,309
A0189,南大沢,6号,310
A0190,南大沢,6号,311
A0191,南大沢,6号,312
A0192,南大沢,6号,307
A0193,南大沢,6号,308
A0194,南大沢,6号,309
A0195,南大沢,6号,310
A0196,南大沢,6号,311
A0197,南大沢,6号,201
A0198,南大沢,6号,211
A0199,南大沢,6号,205
A0200,南大沢,6号,208
A0201,南大沢,6号,209
A0202,南大沢,6号,210
A0203,南大沢,6号,105
A0204,南大沢,6号,104
A0205,南大沢,6号,202
A0206,南大沢,6号,205
A0207,南大沢,6号,307
A0208,南大沢,6号,308
A0209,南大沢,6号,309
A0210,南大沢,6号,310
A0211,南大沢,6号,311
A0212,南大沢,6号,312
A0213,南大沢,6号,302
A0214,南大沢,6号,303
A0215,南大沢,6号,304
A0216,南大沢,6号,305
A0217,南大沢,6号,306
A0218,南大沢,6号,307
A0220,南大沢,1号,340
A0221,南大沢,1号,350
A0222,南大沢,1号,330
A0223,南大沢,1号,350
A0224,南大沢,6号,201
A0225,南大沢,6号,211
A0226,南大沢,6号,205
A0227,南大沢,6号,208
A0228,南大沢,6号,209
A0229,南大沢,6号,210
A0230,南大沢,6号,105
A0231,南大沢,6号,104
A0232,南大沢,6号,202
A0233,南大沢,6号,205
A0234,南大沢,6号,307
A0235,南大沢,6号,308
A0236,南大沢,6号,309
A0237,南大沢,6号,310
A0238,南大沢,6号,311
A0239,南大沢,6号,312
A0240,南大沢,6号,302
A0241,南大沢,6号,303
A0242,南大沢,6号,304
A0243,南大沢,6号,305
A0244,南大沢,6号,306
A0245,南大沢,6号,307
A0248,南大沢,6号,303
A0249,南大沢,6号,311
A0250,南大沢,6号,312
A0251,南大沢,6号,104
A0252,南大沢,6号,310
