campus,building,room_id
南大沢,6号,110
南大沢,6号,101
南大沢,6号,106
南大沢,6号,105
南大沢,6号,104
南大沢,6号,201
南大沢,6号,202
南大沢,6号,203
南大沢,6号,204
南大沢,6号,205
南大沢,6号,206
南大沢,6号,207
南大沢,6号,208
南大沢,6号,209
南大沢,6号,210
南大沢,6号,211
南大沢,6号,212
南大沢,6号,213
南大沢,6号,301
南大沢,6号,302
南大沢,6号,303
南大沢,6号,304
南大沢,6号,305
南大沢,6号,306
南大沢,6号,307
南大沢,6号,308
南大沢,6号,309
南大沢,6号,310
南大沢,6号,311
南大沢,6号,312
南大沢,6号,313
南大沢,6号,401
南大沢,6号,402
南大沢,1号,120
南大沢,1号,110
南大沢,1号,107
南大沢,1号,101
南大沢,1号,102
南大沢,1号,103
南大沢,1号,104
南大沢,1号,105
南大沢,1号,109
南大沢,1号,201
南大沢,1号,202
南大沢,1号,203
南大沢,1号,204
南大沢,1号,205
南大沢,1号,206
南大沢,1号,208
南大沢,1号,209
南大沢,1号,210
南大沢,1号,220
南大沢,1号,230
南大沢,1号,240
南大沢,1号,310
南大沢,1号,308
南大沢,1号,301
南大沢,1号,302
南大沢,1号,303
南大沢,1号,304
南大沢,1号,309
南大沢,11号,101
南大沢,11号,102
南大沢,11号,103
南大沢,11号,105
南大沢,11号,106
南大沢,11号,108
南大沢,11号,109
南大沢,11号,110
南大沢,11号,201
南大沢,11号,202
南大沢,11号,204
南大沢,11号,206
南大沢,11号,208
南大沢,11号,209
南大沢,11号,210
南大沢,11号,301
南大沢,11号,302
南大沢,11号,306
南大沢,11号,308
南大沢,11号,309
南大沢,12号,201
南大沢,12号,202
南大沢,12号,203
南大沢,12号,204
南大沢,12号,205
南大沢,12号,206
南大沢,12号,207
南大沢,12号,208
南大沢,12号,101
南大沢,12号,102
南大沢,12号,103
南大沢,12号,104
南大沢,12号,105
南大沢,12号,106
